accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.5,0.5,0.24286314678672732,0.2237935088507552,-8.15625,0.2293213675558273,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.2185768321080546,0.20141415796567969,0.0,0.21785529917803592,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.22171914889724914,0.2062727421691117,13.453125,0.21946253421913411,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.19954723400752422,0.18564546795220055,0.0,0.2084894075081774,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.2045925106067718,0.1920809211569805,6.9140625,0.21056493713276853,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.18413325954609464,0.17287282904128246,0.0,0.20003669027613008,4,4,5,4,0,7,1,0,0,0,4
0.5,0.5,0.21571993359148517,0.2055855461371542,22.16552734375,0.2150348557623236,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.21914794023233666,0.2100269915234388,5.25,0.2167831129742074,4,4,4,3,1,8,1,0,1,0,3
0.25,0.25,0.222233146209103,0.2140242923710949,-13.5625,0.21844395732549704,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.23250983158819272,0.2176218631339854,-0.5625,0.2237717594592222,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.23425884842937345,0.22085967682058685,-11.25,0.22508317148626109,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.2358329635864361,0.22377370913852818,10.0234375,0.22632901291194804,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.23724966722779248,0.22639633822467536,0.0390625,0.22751256226635064,4,4,5,5,1,7,0,1,0,0,4
0.0,0.0,0.21352470050501324,0.20375670440220783,0.0,0.2161369341530331,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.21717223045451192,0.20838103396198704,-3.0078125,0.21783008744538143,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.22045500740906074,0.21254293056578832,-15.03125,0.21943858307311237,4,4,6,4,1,6,2,1,1,0,3
0.25,0.325,0.23090950666815466,0.21628863750920949,-4.6240234375,0.22471665391945675,4,4,4,4,2,8,0,0,0,0,4
