accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.5,0.5,0.3368042933507223,0.3253007471680219,-3.88623046875,0.29641464235139714,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.3281238640156501,0.3177706724512197,0.9072265625,0.29502220308085525,4,4,4,4,1,8,0,0,0,0,4
0.5,0.575,0.3528114776140851,0.3359936052060977,1.296875,0.30342153698842955,4,4,4,4,3,8,0,0,0,0,4
0.0,0.075,0.3250303298526766,0.302394244685488,1.4228515625,0.2965688908787767,4,4,4,4,1,8,0,0,0,0,4
0.0,0.15,0.307527296867409,0.2721548202169392,-7.84814453125,0.2921718241524134,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3267745671806681,0.2949393381952453,-1.5390625,0.298406669427841,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.31909711046260125,0.29044540437572075,14.179443359375,0.29695446934500574,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.3371873994163411,0.3114008639381487,4.68359375,0.30304583526465556,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.353468659474707,0.3302607775443338,-6.861328125,0.3089544602067159,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.3181217935272363,0.2972346997899004,0.0,0.29968582640051444,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.33630961417451266,0.31751122981091034,-0.1953125,0.30569525160849903,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.32767865275706143,0.31076010682981936,-4.013671875,0.30402439406024406,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.31991078748135526,0.30468409614683745,1.81134033203125,0.30240366223843673,4,4,4,4,1,8,0,0,0,0,4
0.5,0.6499999999999999,0.35291970873321976,0.3242156865321537,3.4571533203125,0.3128315523712836,4,4,4,4,4,8,0,0,0,0,4
0.0,0.075,0.3251277378598978,0.29179411787893833,-1.2359619140625,0.3056966058001451,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.292614964073908,0.2626147060910445,0.0,0.2965257076261408,4,4,4,4,0,8,0,0,0,0,4
